symbol,prediction,confidence,current_price,rsi,macd_hist,bb_position,adx,price_change_1d,price_change_3d,volume_ratio,volatility
1000RATS/USDT:USDT,UP,92.4,0.03233,62.40858091083192,4.688445972326214e-06,0.6779679260360871,27.803833541173343,3.5554131966687885,3.8548024413748605,1.028035847593892,4.3765843937450954
KMNO/USDT:USDT,UP,84.0,0.06928,51.95446833321753,5.8978972665956896e-05,0.5641784495679061,33.451099298280454,1.9273208768574301,-0.9578270192995064,0.4815734519227116,1.401247681748716
BNB/USDT:USDT,UP,84.0,595.54,58.53884078578271,1.8953268065941709,0.825795645303603,31.03740638766038,0.016794303372291708,0.13282891971415633,0.36925062513862744,0.718412740499841
SWELL/USDT:USDT,UP,84.0,0.01381,57.98879784724371,2.1066564884089664e-05,0.7421438454874584,38.65137693557963,0.8029197080291928,1.9940915805022108,0.16770477911903478,2.1525062018960406
UXLINK/USDT:USDT,UP,84.0,0.6074,58.38395828341344,0.001560972036791015,0.7960566850428183,34.10804972294456,1.0648918469218005,0.8467541092479047,0.253933385737074,1.2999442941103412
RARE/USDT:USDT,DOWN,84.0,0.05949,46.20764531413728,5.4196692493606736e-05,0.2771864589639412,27.89786599603067,0.8476012883539497,-0.8004002001000488,0.3673000948956778,1.0107381424568675
BIGTIME/USDT:USDT,DOWN,84.0,0.06637,53.98995079238914,-0.00012726319231776996,0.4833815383203143,36.0376855500871,0.5606060606060614,-0.8515088138631666,0.130838774414454,1.4877596503950519
1000000MOG/USDT:USDT,DOWN,84.0,0.6516,50.681616317218534,-0.00018997232709094163,0.4035382944188528,25.279069385435868,0.23073373327180402,-0.07667535654041213,0.26312730310681964,1.7365861447598319
FIO/USDT:USDT,DOWN,84.0,0.02399,52.849014302964925,-8.376808620670403e-06,0.38656189751514025,28.28890625692046,0.8830950378469371,-0.9905076351630182,0.1982716450990618,4.845121131187874
FIDA/USDT:USDT,DOWN,84.0,0.11804,52.43282212484557,-0.00011891640212243653,0.41338200512831,28.693977696603984,1.001112347052291,-0.6062647356012141,0.25916167343532553,1.2715528318676383
